201,-0.061458333,0,,,,,,
402,-0.11875,0,,,,,,
603,-0.1125,0,,,,,,
804,-0.10625,0,,,,,,
1005,-0.1,0,,,,,,
1206,-0.09375,0,,,,,,
1407,-0.0875,0,,,,,,
1608,-0.08125,0,,,,,,
1809,-0.075,0,,,,,,
2010,-0.06875,0,,,,,,
2211,-0.0625,0,,,,,,
2412,-0.05625,0,,,,,,
2613,-0.05,0,,,,,,
2814,-0.04375,0,,,,,,
3015,-0.0375,0,,,,,,
3216,-0.03125,0,,,,,,
3417,-0.025,0,,,,,,
3618,-0.01875,0,,,,,,
3819,-0.0125,0,,,,,,
4020,-0.00625,0,,,,,,
4221,0,0,,,,,,
4422,0.00625,0,,,,,,
4623,0.0125,0,,,,,,
4824,0.01875,0,,,,,,
5025,0.025,0,,,,,,
5226,0.03125,0,,,,,,
5427,0.0375,0,,,,,,
5628,0.04375,0,,,,,,
5829,0.05,0,,,,,,
6030,0.05625,0,,,,,,
6231,0.0625,0,,,,,,
6432,0.06875,0,,,,,,
6633,0.075,0,,,,,,
6834,0.08125,0,,,,,,
7035,0.0875,0,,,,,,
7236,0.09375,0,,,,,,
7437,0.1,0,,,,,,
7638,0.10625,0,,,,,,
7839,0.1125,0,,,,,,
8040,0.11875,0,,,,,,
8241,0.061458333,0,,,,,,
